state_province,especie
Illes Balears,Fulica atra
Tarragona,Buteo buteo
Illes Balears,Chroicocephalus ridibundus
Barcelona,Streptopelia decaocto
A Corua,Motacilla cinerea
Lleida,Galerida cristata
A Corua,Fringilla coelebs
Ourense,Turdus merula
Murcia,Parus major
Girona,Pica pica
Ciudad Real,Sturnus
Girona,Corvus corone
Barcelona,Apus apus
Girona,Carduelis carduelis
A Corua,Saxicola rubicola
Girona,Phoenicurus ochruros
Tarragona,Sturnus
A Corua,Pica pica
A Corua,Passer domesticus
Las Palmas,Streptopelia decaocto
Girona,Chroicocephalus ridibundus
Zamora,Falco tinnunculus
Palencia,Turdus merula
Girona,Passer domesticus
Girona,Delichon urbicum
Len,Milvus migrans
A Corua,Anas platyrhynchos
A Corua,Troglodytes troglodytes
Girona,Hirundo rustica
A Corua,Columba palumbus
A Corua,Phoenicurus ochruros
Ourense,Pica pica
Barcelona,Carduelis carduelis
Illes Balears,Gallinula chloropus
Alacant/Alicante,Sturnus
A Corua,Alcedo atthis
Girona,Emberiza cirlus
Barcelona,Pica pica
A Corua,Corvus corone
A Corua,Periparus ater
Girona,Motacilla alba
Murcia,Columba livia
A Corua,Buteo buteo
Alacant/Alicante,Upupa epops
Girona,Dendrocopos major
Barcelona,Bubulcus ibis
Barcelona,Columba palumbus
A Corua,Phylloscopus collybita
Barcelona,Serinus serinus
Zamora,Hirundo rustica
Girona,Parus major
Len,Anas platyrhynchos
Las Palmas,Delichon urbicum
A Corua,Parus major
Girona,Fringilla coelebs
A Corua,Erithacus rubecula
Alacant/Alicante,Anas platyrhynchos
A Corua,Turdus merula
Tarragona,Columba palumbus
Zamora,Sylvia atricapilla
Barcelona,Parus major
Ciudad Real,Gallinula chloropus
Zaragoza,Acrocephalus arundinaceus
Alacant/Alicante,Columba palumbus
A Corua,Aegithalos caudatus
A Corua,Motacilla alba
Tarragona,Delichon urbicum
Barcelona,Columba livia
Barcelona,Passer domesticus
Barcelona,Motacilla alba
Barcelona,Delichon urbicum
A Corua,Turdus philomelos
A Corua,Certhia brachydactyla
A Corua,Apus apus
Alacant/Alicante,Motacilla alba
Alacant/Alicante,Turdus merula
Barcelona,Corvus corone
Barcelona,Hirundo rustica
Albacete,Apus apus
Barcelona,Erithacus rubecula
Girona,Anas platyrhynchos
A Corua,Ardea cinerea
Len,Corvus frugilegus
Albacete,Turdus merula
A Corua,Garrulus glandarius
Girona,Sturnus
A Corua,Carduelis carduelis
Zamora,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Barcelona,Chroicocephalus ridibundus
Alacant/Alicante,Hirundo rustica
Ourense,Serinus serinus
Las Palmas,Motacilla cinerea
Illes Balears,Anas platyrhynchos
Len,Serinus serinus
Albacete,Streptopelia decaocto
Tarragona,Hirundo rustica
A Corua,Sylvia atricapilla
Zamora,Cettia cetti
Girona,Cyanistes caeruleus
Barcelona,Luscinia megarhynchos
A Corua,Sylvia borin
Len,Passer domesticus
Girona,Sitta europaea
Ciudad Real,Turdus merula
Valncia/Valencia,Turdus merula
Palencia,Motacilla alba
Ciudad Real,Columba palumbus
Alacant/Alicante,Streptopelia decaocto
Tarragona,Fringilla coelebs
Girona,Falco tinnunculus
A Corua,Regulus ignicapilla
Girona,Phylloscopus collybita
Alacant/Alicante,Himantopus himantopus
Girona,Columba palumbus
Palencia,Pica pica
A Corua,Chroicocephalus ridibundus
Barcelona,Gallinula chloropus
Las Palmas,Larus michahellis
Pontevedra,Picus viridis
Zamora,Ciconia ciconia
Barcelona,Buteo buteo
Palencia,Egretta garzetta
Murcia,Chroicocephalus ridibundus
Madrid,Pica pica
Alacant/Alicante,Pica pica
Tarragona,Carduelis carduelis
Alacant/Alicante,Passer domesticus
Girona,Erithacus rubecula
Len,Ciconia ciconia
Pontevedra,Anthus pratensis
Tarragona,Turdus viscivorus
Len,Falco tinnunculus
Murcia,Anas platyrhynchos
Alacant/Alicante,Carduelis carduelis
Girona,Sylvia melanocephala
Murcia,Oxyura leucocephala
Ciudad Real,Passer domesticus
Madrid,Erithacus rubecula
Palencia,Passer domesticus
Barcelona,Anas platyrhynchos
Girona,Saxicola rubicola
Girona,Motacilla cinerea
Zamora,Cyanistes caeruleus
Zaragoza,Pica pica
Araba/lava,Parus major
Palencia,Columba palumbus
Madrid,Parus major
Barcelona,Actitis hypoleucos
Albacete,Sturnus
Len,Milvus milvus
Barcelona,Turdus merula
Girona,Serinus serinus
Barcelona,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Las Palmas,Motacilla alba
Las Palmas,Serinus canaria
Zaragoza,Fulica atra
Ciudad Real,Cyanistes caeruleus
Girona,Turdus philomelos
Palencia,Parus major
Palencia,Picus viridis
Barcelona,Phalacrocorax carbo
Segovia,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Valncia/Valencia,Ardea cinerea
Tarragona,Motacilla alba
Las Palmas,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Girona,Garrulus glandarius
A Corua,Serinus serinus
Barcelona,Upupa epops
Len,Motacilla alba
Tarragona,Phalacrocorax carbo
Segovia,Petronia petronia
Len,Turdus merula
Zamora,Turdus merula
Las Palmas,Upupa epops
Las Palmas,Estrilda astrild
Girona,Anthus spinoletta
Alacant/Alicante,Egretta garzetta
Las Palmas,Falco tinnunculus
Araba/lava,Cyanistes caeruleus
Ciudad Real,Anas platyrhynchos
Barcelona,Motacilla cinerea
Barcelona,Sylvia melanocephala
Len,Delichon urbicum
Palencia,Dendrocopos major
Girona,Turdus merula
Palencia,Anas platyrhynchos
Albacete,Passer domesticus
Bizkaia,Turdus philomelos
Las Palmas,Columba livia
Albacete,Serinus serinus
Tarragona,Serinus serinus
A Corua,Ptyonoprogne rupestris
Tarragona,Turdus merula
Zamora,Milvus milvus
Zamora,Motacilla alba
Murcia,Motacilla alba
Murcia,Upupa epops
Albacete,Columba palumbus
Murcia,Turdus merula
Madrid,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Alacant/Alicante,Serinus serinus
Tarragona,Passer domesticus
Las Palmas,Phylloscopus canariensis
Las Palmas,Anthus berthelotii
Illes Balears,Apus apus
Zamora,Anthus pratensis
Barcelona,Phasianus colchicus
Zamora,Sturnus
Valncia/Valencia,Passer domesticus
Tarragona,Luscinia megarhynchos
Ciudad Real,Streptopelia turtur
Girona,Periparus ater
Girona,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Murcia,Passer domesticus
Las Palmas,Apus unicolor
Murcia,Muscicapa striata
Las Palmas,Carduelis carduelis
Girona,Aegithalos caudatus
Tarragona,Apus apus
Albacete,Turdus viscivorus
Girona,Buteo buteo
Zamora,Cisticola juncidis
A Corua,Sturnus
A Corua,Hirundo rustica
A Corua,Picus viridis
Zamora,Columba livia
Girona,Larus michahellis
Valncia/Valencia,Chroicocephalus ridibundus
Las Palmas,Turdus merula
Len,Hirundo rustica
Zamora,Emberiza cirlus
Barcelona,Estrilda astrild
Barcelona,Myiopsitta monachus
Murcia,Podiceps nigricollis
Len,Pica pica
A Corua,Delichon urbicum
Murcia,Ardea cinerea
Ourense,Motacilla alba
Ciudad Real,Lanius meridionalis
Len,Ardea cinerea
